"brand_id","brand_name","company_id"
"1","이디야커피","3"
"2","투썸플레이스","25"
"3","메가엠지씨커피(MEGA MGC COFFEE)","11"
"4","커피에반하다","9"
"5","빽다방","4"
"6","커피베이","24"
"7","엔제리너스","1"
"8","파스쿠찌","22"
"9","컴포즈커피(COMPOSE COFFEE)","15"
"10","더벤티","6"
"11","탐앤탐스커피(TOMNTOMS COFFEE)","5"
"12","셀렉토커피","10"
"13","토프레소","14"
"14","더리터(THE LITER)","23"
"15","봄봄테이크아웃(봄봄TAKE-OUT)","13"
"16","더카페","2"
"17","감성커피","18"
"18","엑소엑소핫도그앤커피","8"
"19","달콤","7"
"20","아마스빈","21"
"21","커피온리","17"
"22","카페띠아모","26"
"23","매머드익스프레스(Mammoth Express)","12"
"24","카페루앤비","19"
"25","매머드커피(Mammoth coffee)","12"
"26","카페원플러스원","20"
"27","다빈치커피","16"
"28","1LiTER COFFEE","20"
"29","루고","2"
"30","카페다빈치","16"
